日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-11-07,0.5916848330318478,5.56,5.32,6.36,0.08916684869457248,5.39,6.19,0.06901686744195476
2025-11-10,0.6819542340191347,5.58,5.34,6.36,0.08743536325706057,5.39,6.17,0.06752019686136133
2025-11-11,0.5815990432126369,5.58,5.34,6.34,0.08598231838405213,5.41,6.15,0.06430494939177264
2025-11-12,0.6657262139106395,5.6,5.34,6.34,0.08598231838405213,5.41,6.14,0.06279828166508747
2025-11-13,0.6310298199482923,5.63,5.34,6.34,0.08598231838405213,5.41,6.12,0.06128675400291118
2025-11-14,0.6901200788050056,5.65,5.34,6.32,0.08452463886601919,5.41,6.08,0.058249024509918375
2025-11-17,0.7246542244854434,5.69,5.34,6.32,0.08452463886601919,5.43,6.04,0.05348147368051539
2025-11-18,0.6386381466254282,5.71,5.35,6.3,0.08133502985220709,5.43,6.02,0.05194500767689083
2025-11-19,0.841228676025744,5.74,5.35,6.3,0.08133502985220709,5.45,6.01,0.0486984446970851
2025-11-20,0.6771244492169717,5.76,5.35,6.28,0.07986759855142661,5.47,5.99,0.04545188171727936
2025-11-21,0.5399466563910763,5.76,5.35,6.28,0.07986759855142661,5.47,5.99,0.04545188171727936
2025-11-24,0.9773814618761346,5.8,5.37,6.28,0.07814542083839499,5.48,6.06,0.049916582861992596
2025-11-25,1.0,5.84,5.37,6.99,0.1312807587428162,5.52,6.28,0.06510982448557096
2025-11-26,1.0,6.02,5.39,7.66,0.17359732579069173,5.55,7.61,0.1563861593249048
2025-11-27,0.34057395793410017,7.28,5.47,7.7,0.16912543809601432,5.75,7.62,0.139577027142348
2025-11-28,0.9253402264388074,7.28,5.53,7.7,0.16420302941146633,5.84,7.59,0.13069951359484897
2025-12-01,1.0,7.32,5.53,8.43,0.20791060421014165,5.87,7.66,0.1323846100409856
2025-12-02,1.0,8.39,5.73,9.09,0.22670979081165796,7.01,8.94,0.12133556657211869
2025-12-03,0.38420397422442915,8.89,5.96,9.36,0.22213846841556298,7.35,9.16,0.1100317837082076
