kelly_weight	gain_loss_r	mean_slip_accurance	gain_loss_p	S_paths[0]	assets
1.00000   -0.01550  0.80338   -0.00053  19.05000  15.93349  
0.00000   0.01312   0.85869   0.00070   19.30000  15.68646  
1.00000   -0.00207  0.91623   -0.00024  19.26000  15.68646  
0.00000   0.03894   0.95855   0.01305   20.01000  15.65395  
1.00000   -0.00650  0.91940   0.00918   19.88000  15.65395  
1.00000   -0.03722  0.90693   -0.00667  19.14000  15.55225  
0.00000   -0.05590  0.88505   -0.02649  18.07000  14.97334  
0.00000   0.02767   0.78177   -0.01456  18.57000  14.97334  
0.00000   -0.00377  0.79037   -0.00893  18.50000  14.97334  
0.00000   0.03027   0.83488   0.00639   19.06000  14.97334  
1.00000   0.01889   0.86044   0.01415   19.42000  14.97334  
1.00000   -0.02317  0.85434   0.00346   18.97000  15.25615  
1.00000   0.01054   0.90133   0.00356   19.17000  14.90264  
1.00000   -0.01200  0.93158   -0.00229  18.94000  15.05975  
0.00000   0.02218   0.94830   0.00462   19.36000  14.87907  
1.00000   -0.01085  0.94423   0.00082   19.15000  14.87907  
1.00000   -0.01358  0.96161   -0.00441  18.89000  14.71767  
0.00000   -0.01853  0.95303   -0.01043  18.54000  14.51785  
0.00000   -0.00054  0.91893   -0.00874  18.53000  14.51785  
0.00000   0.07501   0.90622   0.01906   19.92000  14.51785  
1.00000   -0.04066  0.83282   0.00449   19.11000  14.51785  
1.00000   0.09995   0.86971   0.03429   21.02000  13.92752  
1.00000   0.09990   0.77123   0.06259   23.12000  15.31954  
0.29118   0.09991   0.59112   0.08290   25.43000  16.85004  
0.00000   0.09988   0.39803   0.09398   27.97000  17.34025  
0.00000   -0.03110  0.24261   0.04927   27.10000  17.34025  
0.00000   -0.10000  0.32453   -0.01069  24.39000  17.34025  
1.00000   -0.10004  0.44349   -0.05288  21.95000  17.34025  
0.52032   -0.00683  0.36244   -0.05104  21.80000  15.60551  
0.57188   0.00275   0.35405   -0.03449  21.86000  15.55002  
0.27293   ---       0.45293   ---       ( 22.47216 )---       
